"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"SGB"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lentilactobacillus"	"s__Lentilactobacillus kefiri"	"SGB7221"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Lentilactobacillus"	"s__Lentilactobacillus kisonensis"	"SGB7223"
"d__Bacteria"	"p__Firmicutes_A"	"c__Thermosediminibacteria"	"o__Thermosediminibacterales"	"f__Tepidanaerobacteraceae"	"g__Tepidanaerobacter"	"s__Tepidanaerobacter syntrophicus"	"SGB7313"
"d__Bacteria"	"p__Proteobacteria"	"c__Gammaproteobacteria"	"o__Xanthomonadales"	"f__Rhodanobacteraceae"	"g__Dokdonella_A"	"s__"	"SGB73373"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhizobiales"	"f__Xanthobacteraceae"	"g__Nitrobacter"	"s__"	"SGB73507"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Paenibacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	"s__Paenibacillus uliginis"	"SGB7406"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Paenibacillales"	"f__Paenibacillaceae"	"g__Paenibacillus"	"s__Paenibacillus glucanolyticus"	"SGB7411"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Paenibacillales"	"f__Paenibacillaceae"	"g__Paenibacillus_K"	"s__Paenibacillus_K selenitireducens"	"SGB7463"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_A"	"f__Planococcaceae"	"g__Ureibacillus"	"s__Ureibacillus sinduriensis"	"SGB7476"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Peptostreptococcus"	"s__Peptostreptococcus stomatis"	"SGB748"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_A"	"f__Planococcaceae"	"g__Lysinibacillus"	"s__Lysinibacillus sphaericus_B"	"SGB7501"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_A"	"f__Planococcaceae"	"g__Kurthia"	"s__Kurthia gibsonii"	"SGB7515"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Listeriaceae"	"g__Listeria_A"	"s__Listeria_A newyorkensis"	"SGB7520"
"d__Bacteria"	"p__Patescibacteria"	"c__Microgenomatia"	"o__UBA12405"	"f__UBA12405"	"g__UBA2283"	"s__UBA2283 sp903825325"	"SGB75485"
"d__Bacteria"	"p__Patescibacteria"	"c__Microgenomatia"	"o__UBA1400"	"f__PJMF01"	"g__JABBGTR01"	"s__JABBGTR01 sp018646985"	"SGB75492"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_B"	"f__DSM-18226"	"g__Cytobacillus"	"s__Cytobacillus kochii"	"SGB7554"
"d__Bacteria"	"p__Patescibacteria"	"c__Paceibacteria"	"o__UBA9983_A"	"f__XYD1-FULL-46-19"	"g__CAIRHC01"	"s__CAIRHC01 sp903878275"	"SGB75601"
"d__Bacteria"	"p__Patescibacteria"	"c__Paceibacteria"	"o__UBA9983_A"	"f__SBAW01"	"g__GWA1-54-10"	"s__GWA1-54-10 sp903819895"	"SGB75644"
"d__Bacteria"	"p__Patescibacteria"	"c__Paceibacteria"	"o__UBA9983_A"	"f__UBA9973"	"g__CAIQAW01"	"s__"	"SGB75783"
"d__Bacteria"	"p__Patescibacteria"	"c__Paceibacteria"	"o__Paceibacterales"	"f__Staskawiczbacteraceae"	"g__XYD1-FULL-39-28"	"s__XYD1-FULL-39-28 sp903928565"	"SGB75817"
"d__Bacteria"	"p__Patescibacteria"	"c__ABY1"	"o__SBBC01"	"f__"	"g__"	"s__"	"SGB75923"
"d__Bacteria"	"p__Patescibacteria"	"c__Paceibacteria"	"o__UBA9983_A"	"f__XYD1-FULL-46-19"	"g__"	"s__"	"SGB76022"
"d__Bacteria"	"p__Patescibacteria"	"c__Saccharimonadia"	"o__Saccharimonadales"	"f__CAIOMD01"	"g__JAGOOV01"	"s__JAGOOV01 sp017992295"	"SGB76235"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_D"	"f__Alkalibacillaceae"	"g__Salinibacillus"	"s__Salinibacillus kushneri"	"SGB7641"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_B"	"f__Bacillaceae_C"	"g__Siminovitchia"	"s__Siminovitchia thermophila"	"SGB7645"
"d__Bacteria"	"p__Hydrogenedentota"	"c__Hydrogenedentia"	"o__Hydrogenedentiales"	"f__WGMK01"	"g__WGMK01"	"s__"	"SGB76490"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_D"	"f__Amphibacillaceae"	"g__Gracilibacillus"	"s__Gracilibacillus ureilyticus"	"SGB7653"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_D"	"f__Amphibacillaceae"	"g__Ornithinibacillus"	"s__Ornithinibacillus halophilus"	"SGB7664"
"d__Bacteria"	"p__Desulfobacterota"	"c__Desulfuromonadia"	"o__Desulfuromonadales"	"f__Geopsychrobacteraceae"	"g__Pelovirga"	"s__Pelovirga terrestris"	"SGB76674"
"d__Bacteria"	"p__Chloroflexota"	"c__Ktedonobacteria"	"o__Ktedonobacterales"	"f__Ktedonobacteraceae"	"g__CADDZH01"	"s__CADDZH01 sp902812455"	"SGB76719"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_H"	"g__Priestia"	"s__Priestia flexa"	"SGB7677"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_G"	"g__Bacillus_A"	"s__Bacillus_A sp900116295"	"SGB7706"
"d__Bacteria"	"p__Proteobacteria"	"c__Alphaproteobacteria"	"o__Rhodospirillales"	"f__Terasakiellaceae"	"g__Terasakiella"	"s__Terasakiella brassicae"	"SGB77084"
"d__Bacteria"	"p__Bdellovibrionota"	"c__Bdellovibrionia_A"	"o__UBA1018"	"f__UBA1018"	"g__CAINWE01"	"s__CAINWE01 sp903854365"	"SGB77244"
"d__Bacteria"	"p__Campylobacterota"	"c__Campylobacteria"	"o__Campylobacterales"	"f__Campylobacteraceae"	"g__Campylobacter_D"	"s__Campylobacter_D hepaticus_A"	"SGB77294"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Bacillales_B"	"f__Bacillaceae_C"	"g__Heyndrickxia"	"s__Heyndrickxia oleronia"	"SGB7732"
"d__Bacteria"	"p__Firmicutes_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Thermotaleaceae"	"g__SY095"	"s__SY095 sp008152325"	"SGB77427"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides_H"	"s__Bacteroides_H sp010500995"	"SGB77848"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Chitinophaga"	"s__Chitinophaga sp009758205"	"SGB78091"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Chitinophaga"	"s__Chitinophaga japonensis"	"SGB78098"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Chitinophaga"	"s__Chitinophaga sp012516355"	"SGB78108"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Staphylococcales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus agnetis"	"SGB7822"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Sediminibacterium"	"s__"	"SGB78233"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Staphylococcales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus hyicus"	"SGB7823"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Flavisolibacter"	"s__Flavisolibacter ginsenosidimutans"	"SGB78292"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Chitinophagales"	"f__Chitinophagaceae"	"g__Lacibacter"	"s__Lacibacter cauensis"	"SGB78311"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Cytophagales"	"f__Spirosomaceae"	"g__Leadbetterella"	"s__"	"SGB78423"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Cytophagales"	"f__Spirosomaceae"	"g__Arcicella"	"s__Arcicella rosea"	"SGB78451"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Cytophagales"	"f__Cyclobacteriaceae"	"g__Algoriphagus"	"s__Algoriphagus aquimarinus_A"	"SGB78502"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Staphylococcales"	"f__Staphylococcaceae"	"g__Staphylococcus"	"s__Staphylococcus borealis"	"SGB7860"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Weeksellaceae"	"g__Chryseobacterium"	"s__Chryseobacterium sediminis"	"SGB78841"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Weeksellaceae"	"g__Chryseobacterium"	"s__Chryseobacterium nematophagum_B"	"SGB78855"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Flavobacterium"	"s__Flavobacterium sp012911605"	"SGB78912"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Flavobacterium"	"s__Flavobacterium sp011742145"	"SGB78918"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Flavobacterium"	"s__Flavobacterium orientale"	"SGB78920"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Flavobacterium"	"s__Flavobacterium jejuense"	"SGB78923"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Flavobacterium"	"s__Flavobacterium undicola"	"SGB78980"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Salinimicrobium"	"s__Salinimicrobium sp012038135"	"SGB79060"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Dokdonia"	"s__Dokdonia sp007827465"	"SGB79076"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Spongiivirga"	"s__Spongiivirga citrea"	"SGB79077"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Polaribacter"	"s__Polaribacter sp009832745"	"SGB79090"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Polaribacter"	"s__Polaribacter sp007997075"	"SGB79097"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Winogradskyella"	"s__Winogradskyella ursingii"	"SGB79135"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Changchengzhania"	"s__Changchengzhania lutea"	"SGB79169"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Flavobacteriales"	"f__Flavobacteriaceae"	"g__Muriicola"	"s__Muriicola jejuensis"	"SGB79190"
"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__NS11-12g"	"f__UBA955"	"g__UBA955"	"s__"	"SGB79282"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus_D"	"s__Enterococcus_D gallinarum"	"SGB7951"
"d__Bacteria"	"p__Firmicutes"	"c__Bacilli"	"o__Lactobacillales"	"f__Enterococcaceae"	"g__Enterococcus_D"	"s__Enterococcus_D sp002140915"	"SGB7954"
"d__Bacteria"	"p__Bdellovibrionota"	"c__Oligoflexia"	"o__Silvanigrellales"	"f__Silvanigrellaceae"	"g__RFOM01"	"s__RFOM01 sp016868315"	"SGB79563"
